E_Retchford (bag) Ps increases from coaching
Dan_Ander (bay) Ps increases from rerates
I_Ponsioen (bby) Tk increases from rerates
D_Ropalot (bty) St increases from rerates
S_Gambetta (bty) Ps increases from rerates
Efftee (bty) Sh increases from rerates
E_Porath (dpy) Ps increases from rerates
S_Deulofeu (dpy) Sh increases from rerates
Y_Wickings (hry) Sh increases from rerates
P_Stenberg (mry) Tk increases from rerates
X_Lochine (mry) Tk increases from rerates
U_Stanga (mry) Tk increases from rerates
X_Raffaeta (npy) Sh increases from rerates
C_Bebic (rsy) Sh increases from rerates
R_Radic (rsy) Ps increases from rerates
K_Maric (rsy) Ps increases from rerates
T_Longaretti (sby) Sh increases from rerates
X_Tarkowski (sby) Tk increases from rerates
V_Sprugeon (sby) Tk increases from rerates
C_Rosenweig (why) Tk increases from rerates
P_Griff (why) Ps increases from rerates
N_Bankey (aay) Tk increases from rerates
A_Canchola (aay) Sh increases from rerates
H_Klosset (aay) Sh increases from rerates
Y_Pooter (aay) Tk increases from rerates
Y_Pooter (aay) Sh increases from rerates
J_Zollinger (cky) St increases from rerates
U_Halsey (cky) Sh increases from rerates
S_Ugarte (cky) Ps increases from rerates
A_Longhouse (cky) Ps increases from rerates
K_Coulthurst (cky) Sh increases from rerates
F_Gratz (cky) Tk increases from rerates
F_Gratz (cky) Ps increases from rerates
V_Winks (dsy) Sh increases from rerates
B_Pilley (fry) St increases from rerates
N_Millat (fry) St increases from rerates
U_Oborski (fry) Sh increases from rerates
S_Finnan (hhy) Tk increases from rerates
Y_Crader (juy) Tk increases from rerates
P_Brauer (juy) Tk increases from rerates
P_Armstard (juy) Sh increases from rerates
B_Lewandowski (ldy) Tk increases from rerates
J_Dasiwa (ldy) Tk increases from rerates
D_Solanke (ldy) Tk increases from rerates
M_Muheim (ldy) Tk increases from rerates
D_Antoniou (mfy) Sh increases from rerates
O_Urack (mfy) Ps increases from rerates
M_Bailey (tty) Ps increases from rerates
X_Frankel (tty) Sh increases from rerates
C_Cottington (boy) Sh increases from rerates
Q_Horley (boy) Tk increases from rerates
B_Lancaster (boy) Ps increases from rerates
J_Nainoa (boy) Sh increases from rerates
J_Longthorne (cay) St increases from rerates
G_Topal (cay) St increases from rerates
M_Kopishke (cay) Tk increases from rerates
R_Holtzke (ccy) Sh increases from rerates
C_Stanaback (fcy) St increases from rerates
P_Bolinger (fcy) Ps increases from rerates
L_Ponky (fcy) Ps increases from rerates
PinkPinkFiz (fcy) Sh increases from rerates
E_Portis (dhy) St increases from rerates
H_Potter (dhy) Sh increases from rerates
V_Meshki (fsy) Tk increases from rerates
B_Dingley (say) Ps increases from rerates
L_Balmforth (suy) St increases from rerates
K_Brinsmade (suy) Sh increases from rerates
P_Porkujan (suy) Ps increases from rerates
B_Minhinnick (suy) Ps increases from rerates
O_Kraemmer (vvy) Tk increases from rerates
W_Granger (vvy) Sh increases from rerates
C_Jacob (bwr) St increases from rerates
A_Boerkel (bwr) Sh increases from rerates
L_Harris (les) Ps increases from rerates
