D_D_Aitch	 22	 eng	1	21	13	8	27 300 399 235 257 
T_Pratchett	 24	 usa	1	21	9	5	25 390 428 561  58   
J_Backus	 26	 cam	1	21	17	15	62 300 833 247 755   
W_Tamindzic	 27	 geo	8	21	16	4	40 460 746 525 295 
B_Meetze	 30	 hol	1	21	15	5	28 390 662  70 877  
C_Findler	 23	 nir	1	5	21	15	14 300 765 112 442  
I_Schnell	 24	 ger	2	7	21	9	10 390 652 528 810  
Q_Zuniga	 25	 mex	1	5	21	5	11 480  66 963 875 
K_DeKrafft	 25	 hol	1	3	21	2	31 300 631 612 778 
A_Ladorlass	 26	 gre	1	2	21	8	13 300 865 124 338   
M_Crommus	 28	 nzl	1	5	21	3	11 300 650  55 629   
W_Leyland	 30	 eng	1	5	21	5	53 300 699 820 933 
M_Selmanaj	 20	 gre	1	3	20	6	41 380 659 328 493   
M_Rui-Costa	 23	 por	1	7	20	3	36 300 530 531  34   
A_Boerkel	 22	 usa	1	8	9	21	13 750 406 452 156   
D_Marquez	 23	 usa	1	3	13	21	10 390 561 173 252   
P_Deegan	 24	 ire	1	11	8	21	 9 300 946 760  75  
A_LaPorta	 26	 fra	1	2	4	21	45 300 654 787 551   
H_Northlane	 28	 nir	1	5	3	21	39 300 379 528 738 
Q_Delmore	 23	 hol	1	5	10	20	 8 300 535 651 828
