Date    Player      Age St Tk Ps Sh Ag Club From            Club To              Fee
----------------------------------------------------------------------------------------
Jul 03  Pepe_Meazza   25  2  6 16 23 40 Byker_Grove_Beavers  Newtown_Penguins     13,000k
Jul 05  M_Haylett     33  3 13  3 19 38 Midland_FC           Red_Star_Llama       250k
Jul 05  X_Buys        19  1  6 17  4 21 Fireblades           Foreign_Team         11,900k
Jul 05  N_Buenning    18  1 16  6  4 44 Fireblades           Foreign_Team         0
Jul 06  J_Kukoda      18  1 16  5  3 24 Midland_FC           Foreign_Team         12,000k
Jul 06  L_Druck       18  1 15  6  8 32 Midland_FC           Foreign_Team         0
Jul 06  O_Van_Meer    17  1  4 15  4 28 Midland_FC           Foreign_Team         0
Jul 06  P_Fludd       16  1 14 10  9 15 Midland_FC           Huracan_Rhythm       4,000k
Jul 06  U_Zwaanstra   22  2  5 21 15 16 Midland_FC           Boston_Black_Sox     2,500k
Jul 06  F_Gen         31  2  4 16 24 11 Copenhagen_Kings     Fireblades           10,000k
Jul 06  Khamirutzox   28  6 23 12  6 22 Middletown_Steelers  Foreign_Team         12,000k
Jul 06  Y_Meloche     18  1 15  5  5 46 Middletown_Steelers  Foreign_Team         0
Jul 06  R_Sinclair    16  1  4 14  5 26 Middletown_Steelers  Foreign_Team         0
Jul 07  F_Stickel     17 15  1  1  1 26 Copenhagen_Kings     Foreign_Team         11,800k
Jul 07  K_Coffay      18  1 16  3  4 28 Copenhagen_Kings     Foreign_Team         0
Jul 07  F_Gratz       19  1  6  6 16 16 Copenhagen_Kings     Foreign_Team         0
Jul 07  N_Coupland    20  1  9 18  7 37 Copenhagen_Kings     Derry_Patriots       500k
Jul 07  I_Palorici    20  1 11  5 18 66 Copenhagen_Kings     Derry_Patriots       500k
Jul 07  C_Breihof     20  1  9  9 17 35 Copenhagen_Kings     Derry_Patriots       500k
Jul 07  O_Jewer       19  1  3 20 13 23 Boston_Black_Sox     Huracan_Rhythm       0
Jul 07  I_Raiford     20  1 12  9 21 34 Boston_Black_Sox     Huracan_Rhythm       0
Jul 07  E_Beregovoi   27  2 23 20 15 10 Huracan_Rhythm       Boston_Black_Sox     0
Jul 07  D_Winton      31  6 19 29 17 28 Huracan_Rhythm       Boston_Black_Sox     0
Jul 07  F_Meenan      18  1 16  8  4 21 Huracan_Rhythm       Boston_Black_Sox     7,500k
Jul 07  V_Slebodnick  18  1  4 10 16 25 Huracan_Rhythm       Boston_Black_Sox     0
Jul 08  J_Klabon      16  1  9  4 14 58 Churchill_Snow_Bears Holcombe_Hotshots    0
Jul 08  A_Nielsen     16  1  5 14  3 11 Holcombe_Hotshots    Churchill_Snow_Bears 0
