Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Ruddy       26 eng 17  2  7  6 10 384 364 469 454  20   0 1867   1  78  27   0   0   0   0   0   0   0   0 100
L_Camp        29 nir 13  2  5  4 11 504 359 409 404   4   1  319   1  15   6   0   0   0   0   0   0   0   0 100
J_Steer       20 eng 11  2  6  3 10 339 364 474 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Blind       23 hol  2 15 13  8 11 156 325  26 562   7   0  642   0   0   0   6   7   2   0   1   0   0   0  92
R_Martin      27 sco  3 14 10  7 14 184 966 859 611  19   3 1353   0   0   0  16  18  13   1   1   0   0   0 100
S_Whittaker   29 sco  3 14  9  8 14 184 901 658 662  12   6  686   0   0   0   3   6  10   0   0   0   0   0 100
J_Garrido     28 spa  2 14 12  8 11 174 927 967 580  23   2 1904   0   0   0   9  17  16   1   2   4   0   0  94
M_Turner      29 eng  2 14 12  8  9 174 920 883 559  16   1 1350   0   0   0  11  11   9   2   0   4   0   0  94
A_Elmohamady  25 egy  2 14 12  9 11 178 880 908 543  21   1 1856   0   0   0  11  19  17   0   1   8   0   0  97
R_Bennett     23 eng  3 12 12  8 12 174 735 709 562  14   7  644   0   0   0   5   4   5   0   0   0   0   0 100
E_Ward        29 eng  2 12 10  5 12 174 721 566 486   1   1   41   0   0   0   0   0   1   0   0   0   0   0 100
D_Ayala       24 spa  2 12 10  4  8 174 649 549 439   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Adeyemi     21 eng  2 11 10  7 10 138 533 458 398   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Francomb    21 eng  2 10  9  8 11 174 589 499 464   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Strootman   23 hol  3 12 17 10 13 144 799  73 518  21   0 1935   1   0   0  21  17  23   3   1   4   0   0  92
G_Castro      28 uru  2  7 16 13 11  99 397  67 765  10   0  853   0   0   0   3  16  19   1   0   0   0   0  92
X_Shaqiri     21 swi  2 13 16  8 16 148 956  50 676  22   2 1939   2   0   0  21  20  20   3   2   4   0   0  92
W_Hoolahan    31 ire  2  6 15 11 16 174 498 864 701  15   2  943   0   0   0   1   9  14   3   1   4   0   0 100
F_Malouda     33 fra  3  6 15 11 15 178 444 827 639  18  11  870   0   0   0   1  11  19   0   3   0   0   0 100
Y_Benayoun    33 isl  2  8 15 10  8 168 541 946 695  14   2 1101   0   0   0   2  16   6   0   0   4   0   0 100
R_Snodgrass   25 sco  2  9 15 11 14 174 703 107 758  13   2 1031   0   0   0   5  13  10   1   2   0   0   0 100
J_Howson      25 eng  2 10 14 10 11 174 709 977 669  13   2 1082   0   0   0   4   8  14   2   0   0   0   0 100
A_Surman      27 eng  2  9 14 10 15 174 538 868 654   4   2  196   0   0   0   1   6   5   0   0   0   0   0 100
A_Pilkington  25 ire  4  9 14 11 10 184 585 896 713  12   5  801   0   0   0   3  10  11   1   0   0   0   0 100
B_Johnson     26 eng  2 11 13  7 13 174 751 767 511   7   5  345   0   0   0   3   3   0   0   0   0   0   0 100
D_Fox         29 eng  3  9 13 11 12 174 579 706 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Butterfild  23 eng  3  9 13 11 15 174 539 714 571   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
A_Tettey      28 nor  3 11 13  7 13 184 734 796 599   8   5  368   0   0   0   5   2   5   0   0   4   0   0 100
K_Smith       20 eng  2 10 12  7  9 174 539 589 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Eto'o       32 cam  2  7 10 18 10  89 304 728 110   8   0  695   1   0   0   3   6  24   5   0   0   0   0  92
K_Kamara      28 ivo  3  9 11 13 12 174 542 618 764   5   4  217   0   0   0   0   1   5   0   0   0   0   0 100
J_Loza        19 jam  2  7  9 10 12 138 338 453 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
