Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
F_Fielding    25 eng 14  2  4  4 11 331 295 350 340  23   0 2171   1  80  36   0   0   0   0   0   0   0   0 100
A_Legzinds    26 eng 12  2  4  4 10 365 300 350 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Morch       20 nor 10  2  4  3 10 299 222 262 262   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Nica        21 rom  2 14 11  7 10 114 267  11 582  21   1 1851   1   0   0  17  23  19   1   1   0   0   0  97
L_Shaw        18 eng  2 14 13  6 13 138 919 766 433  22   0 2032   1   0   0  18  20  23   2   2   4   0   0  97
R_Keogh       27 ire  2 14 10  7 13 140 886 897 608  20   0 1852   3   0   0  17  16  18   2   0   8   0   0  97
S_Barker      30 eng  2 14 10  7  8 140 984 832 667  20   2 1766   0   0   0  14  12  18   2   0   4   0   0  97
J_Brayford    25 eng  3 13 10  8 12 150 805 946 580  19   0 1722   1   0   0   9  23  18   4   2   8   0   0  97
J_Buxton      28 eng  2 12  9  5 10 140 819 628 488   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_O'Connor    28 ire  2 12  9  5 10 140 586 509 357   1   1   35   0   0   0   0   0   0   0   0   0   0   0 100
K_Freeman     21 wal  2 11  9  6 13 140 485 435 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Gorkaj      21 alb  2 11 10  6 15 140 575 502 416   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Hoganson    19 eng  2 11 10  7 11 140 569 537 382   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hanson      19 eng  2 11 10  7 10 140 627 530 379   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Lelan       18 eng  2 10  8  6 12 140 480 400 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Coutinho    21 bra  8  9 16 12 10 164 451 303 808  22   1 1961   1   0   0   6  35  38   2   1   4   0   0  97
A_Chipciu     25 rom  2  8 15 11 12 118 683 610 864  22   2 1746   1   0   0   6  36  28   3   3   4   0   0 100
R_Sterling    19 eng  2  9 15 11  7 145 370 934 677  23   2 1908   0   0   0   5  20  29   4   2   4   0   0  97
C_Bryson      26 sco  2  9 15 10 15 140 607 180 755  20   4 1436   3   0   0   7  30  20   4   1  14   0   0 100
D_Rotariu     19 rom  2  9 14 11 12 114 544  70 822  20   1 1326   0   0   0   7  13  29   3   2   0   0   0 100
J_Hendrick    21 ire  3  9 14 11 14 150 675  47 718  21   9 1127   0   0   0   5  12  19   0   2   4   0   0 100
M_Alexe       24 rom  2  9 13 11 14 114 430 980 797  19  12  878   0   0   0   3  15  14   2   0   0   0   0 100
P_Coutts      25 sco  3  9 13 11 12 150 537 952 596  21  17  811   0   0   0   4  13  13   0   2   0   0   0 100
M_Jacobs      21 eng  2  9 13 11 10 140 612 887 727  11   6  501   0   0   0   3   8  12   2   0   0   0   0 100
J_Bailey      24 eng  3  9 12 10 15 140 566 660 558   2   2   39   0   0   0   2   1   2   0   0   0   0   0 100
A_Kozlov      20 rus  2  8 11 14 10 128 358 624 716   3   1  172   0   0   0   0   0   4   2   0   0   0   0 100
J_Ward        27 nir  2  6 11 13 14 130 367 698 872   8   5  368   0   0   0   0   3  10   2   0   4   0   0 100
C_Ball        20 eng  2  6  9 12 12 140 374 415 525   1   0   94   0   0   0   0   0   1   0   0   0   0   0 100
C_Doyle       21 usa  2  6  9 11 10 140 380 435 515   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bennett     21 eng  2  6 10 11 12 140 365 480 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
