Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit  Wages
-----------------------------------------------------------------------------------------------------------------------
K_Jensen      35 den 39  4  5  3 18   1 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100 233140
J_Hart        31 eng 28  2  2  7 14 710 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  91694
L_Dita        26 rom 25  3  1  1 41 700 700 700 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  63684
D_Marino      20 spa 22  3  2  2 23 835 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  44190
H_Bonmann     20 ger 18  4  4  4 19 853 824 798 812   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  25358
Cesar         14 bra 16  3  3  2 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  17978
S_Logan       34 eng  3 27 10  8 36 403  85 585  46   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  88752
Sidnei        36 bra  2 27  7  8 22 300 693 801 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  85092
D_Criscrito   32 ita  2 26 10  7 27 300 832 552 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  79844
A_Carlos      32 bra  1 25 12  8 42 600 941 111 675   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  76104
P_Hunter      33 eng  1 25 11  9 32 300 594 600   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  74748
Henrique      26 spa  1 24 10  8 29 300 758 967 331   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  65107
M_Sarr        21 ger  2 21  5 11 22 600 578 750  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  46550
E_Typutryi    21 arg  1 20  7  9 12 400 726 614 756   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  39303
Colocini      20 arg  3 20  9  6 21 400  30 647 539   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  38952
Daley_Blind   20 hol  3 20  8  6 12 600 512 820 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  37824
G_Cahill      22 eng  2 19 11  6 32 300 920 495 988   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  36676
O_Bernat      21 spa  2 17  7  6 33 700 698 698 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  24063
A_Carvajal    21 spa  3 17  6  7 40 700 726 700 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  24063
G_Southward   20 eng  1 14 10  6 31 400 841 706 514   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  17275
K_Richard     30 hol  1  9 26  9 26 300 963 935 794   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  76919
Y_Toure       32 ivc  1  8 26  4 32 500 776 562 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  75950
Y_Abdessadki  31 ger  2  8 26  8 29 300 421 337 527   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  75662
Maradona      28 arg  1 10 25 16 18 300 770 380 436   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  87000
O_Ruggeri     26 arg  1  8 24 21 19 300 522  69 162   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  91771
P_Nedved      29 cze  1  7 23 22 17 300   9 790 260   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  86144
J_Hernandez   26 ita  1  7 23 18 26 300 461 398 812   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  74516
Raul          25 spa  1  8 21 20 30 300 118 889 219   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  67142
M_Isco        22 spa  2  8 21 19 31 800 448 938 713   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  64493
H_Munculus    20 gre  2  6 21 13 31 400 610 941 146   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  50153
J_Redknapp    21 eng  2  6 21  9 21 800 832 434 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  44177
G_Chiellini   19 ita  2  8 20  6 41 700 886 148 995   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  37824
Coatesinho    20 bra  3  5 15 13 20 400 419 375  46   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  23160
S_Murray      20 sco  2  7 15 10 39 300 659 595  57   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  20550
Stefano       26 sco  2  9  8 28 39 300 636 315 183   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  96026
G_Puciato     25 usa  2  9  9 26 42 300 319 297 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  77000
A_Bagsy       31 arg  1  8  4 26 15 300 165 822  38   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  75950
D_Sulejmani   29 spa  1  2 16 24 36 300 423 470  52   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  74611
Drogba        18 gha  3  8  7 20 30 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  38136
D_Foe         20 eng  2  5  6 20 31 400 396 577   2   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  35730
Gastro        20 spa  2  7  7 18 23 500 572 552 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  27224
G_Meazza      20 ita  3  4  7 15 30 800 826  63 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  17121
